epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.1779,1.73234,3.79013,1.74543,0.01826,0.6,0.08691,0.02999,1.90389,4.17376,1.97426,0.00010003,0.00010003,0.00010003
2,101.001,1.39005,3.34457,1.49264,0.01199,0.6,0.12165,0.04008,1.96842,4.15974,1.99688,0.000207276,0.000207276,0.000207276
3,156.518,1.43545,2.60942,1.51015,0.01477,0.62857,0.15452,0.05318,1.87972,4.01409,1.92773,0.000306978,0.000306978,0.000306978
4,211.822,1.3161,2.45962,1.46157,0.01297,0.65714,0.20901,0.07313,1.80794,4.02662,1.87966,0.000399134,0.000399134,0.000399134
5,262.362,1.28042,2.22391,1.40394,0.00587,0.42857,0.0911,0.0264,1.80788,4.12132,2.11133,0.000483745,0.000483745,0.000483745
6,312.657,1.22013,2.0451,1.39819,0.00604,0.42857,0.10655,0.034,2.25091,4.14968,2.54598,0.000560811,0.000560811,0.000560811
7,363.329,1.13084,2.0023,1.30997,0.55267,0.07219,0.1324,0.04277,2.12512,4.04903,2.50104,0.000630332,0.000630332,0.000630332
8,418.701,1.2864,2.09132,1.42413,0.76737,0.09564,0.2701,0.10377,1.96884,3.79276,2.19843,0.000692308,0.000692308,0.000692308
9,471.446,1.26319,1.98608,1.41002,0.97808,0.05714,0.21421,0.09422,1.98689,3.93506,2.08775,0.000746738,0.000746738,0.000746738
10,521.934,1.1442,1.71256,1.2947,0.68684,0.08571,0.18353,0.06751,2.01184,3.84115,2.14173,0.000793624,0.000793624,0.000793624
11,569.69,1.08176,1.72757,1.27498,0.90153,0.26195,0.33368,0.13546,2.04303,3.70078,2.32738,0.000832964,0.000832964,0.000832964
12,618.286,1.07596,1.73056,1.23981,0.62261,0.51429,0.43129,0.16231,2.2475,3.33816,2.41534,0.000864759,0.000864759,0.000864759
13,667.592,1.0644,1.7129,1.27654,0.73831,0.40318,0.47535,0.19827,2.19703,3.05458,2.57544,0.000863116,0.000863116,0.000863116
14,715.422,1.12856,1.54064,1.29317,0.39352,0.53772,0.44916,0.18409,2.06747,3.05322,2.4171,0.000815959,0.000815959,0.000815959
15,763.036,1.04128,1.53287,1.25271,0.33172,0.45714,0.41696,0.1633,2.02576,3.18586,2.33526,0.000768802,0.000768802,0.000768802
16,812.196,1.1044,1.54273,1.25351,0.74588,0.54286,0.5888,0.2343,2.08758,2.76317,2.25501,0.000721645,0.000721645,0.000721645
17,859.929,1.10855,1.53717,1.28074,0.34902,0.55157,0.43892,0.1573,2.16245,3.67733,2.46574,0.000674488,0.000674488,0.000674488
18,906.627,1.02726,1.41172,1.21153,0.49878,0.48571,0.42056,0.16464,2.17745,2.84624,2.33978,0.000627331,0.000627331,0.000627331
19,1099.91,1.00134,1.47353,1.22851,0.32314,0.57143,0.35551,0.1579,2.12328,2.90993,2.35997,0.000580174,0.000580174,0.000580174
20,1548.11,1.09072,1.52819,1.30009,0.62655,0.45714,0.44512,0.17403,2.14922,3.20873,2.41894,0.000533017,0.000533017,0.000533017
21,1595.11,0.99066,1.65145,1.29159,0.38879,0.37143,0.29681,0.0895,2.48996,4.28144,2.6313,0.00048586,0.00048586,0.00048586
22,1642.09,1.04376,1.57986,1.28467,0.61051,0.31353,0.40865,0.13686,2.37221,3.30497,2.37466,0.000438703,0.000438703,0.000438703
23,1688.98,0.97576,1.44591,1.18196,0.74476,0.37143,0.42573,0.18709,2.20851,2.94821,2.25852,0.000391546,0.000391546,0.000391546
24,1734.59,0.94565,1.42863,1.20759,0.60973,0.51429,0.48972,0.1892,2.2261,2.89519,2.30027,0.000344389,0.000344389,0.000344389
25,1780.72,0.97754,1.38322,1.25667,0.61542,0.48571,0.46559,0.17673,2.28464,2.8491,2.42159,0.000297232,0.000297232,0.000297232
26,1920.71,0.83061,1.2779,1.11752,0.63204,0.51429,0.5188,0.17588,2.33346,2.8494,2.5032,0.000250075,0.000250075,0.000250075
27,1971.8,0.88104,1.45518,1.14375,0.72703,0.57143,0.5964,0.21985,2.29633,2.72089,2.42055,0.000202918,0.000202918,0.000202918
28,2019.92,0.81747,1.3166,1.05363,0.75891,0.57143,0.60383,0.24373,2.17662,2.61053,2.19904,0.000155761,0.000155761,0.000155761
29,2070.56,0.77851,1.22523,1.0588,0.73354,0.57143,0.60452,0.24719,2.13072,2.55864,2.14158,0.000108604,0.000108604,0.000108604
30,2121.52,0.85783,1.34121,1.14646,0.69672,0.54286,0.54525,0.24139,2.11397,2.52618,2.13215,6.1447e-05,6.1447e-05,6.1447e-05
